,masc_pos_terms,masc_pos_values,masc_neg_terms,masc_neg_values,masc_neu_terms,masc_neu_values,fem_pos_terms,fem_pos_values,fem_neg_terms,fem_neg_values,fem_neu_terms,fem_neu_values
19,hopeful,2.0043478167575337,feeble,1.778260868528615,teutonic,2.0250000059604645,lively,2.8863636173985223,virgin,3.1599999904632567,withered,3.1529411533299614
20,superior,1.87826086645541,suspicious,1.747826073480689,macedonian,1.975000023841858,spirited,2.8727273128249426,negative,2.946666646003723,parisian,2.91176471640082
21,easy,1.8130434647850369,careless,1.6695652111716892,political,1.8900000113993882,interesting,2.8500000455162744,awful,2.906666660308838,feminist,2.5647059012861813
22,enterprising,1.8130434544190117,incapable,1.5130434839621834,austrian,1.8899999767541886,sweet,2.8454545573754744,black,2.720000026623408,little,1.529411775224349
23,benevolent,1.7434782515401426,hostile,1.6136363636363635,merovingian,1.804999989271164,gentle,2.6863636509938673,little,3.478571425591196,topless,4.250000022351742
24,courteous,2.154545458880338,melancholy,1.5500000010837207,arthurian,2.3315789260362325,fertile,3.3761904693785167,barren,3.4214286037853787,english,2.9874999867752194
25,good,2.154545424336737,dead,1.495454559271986,eastern,2.28947368107344,gorgeous,3.0809523661931357,wanton,2.9500000136239186,brisk,2.243749998509884
26,rightful,2.104545446959409,inferior,1.4681818214329807,prussian,1.9947368345762555,brisk,3.774999958276749,battered,2.707142855439867,new,2.1624999907799065
27,prominent,1.9409090605649082,wicked,2.504761891705649,auxiliary,1.9684210419654846,fascinating,3.2631578696401498,dreadful,2.5000000255448476,alleged,2.9733333230018615
28,competent,1.8409090692346746,criminal,1.723809526080177,sovereign,1.9421052713143199,fashionable,3.1894736980137073,invalid,2.4928571454116275,beauteous,2.953333310286204
29,righteous,1.804545451294292,fraudulent,1.671428578240531,chinese,1.8421052819804142,fruitful,3.0526315663990222,terrible,2.1285713953631267,swedish,2.7
30,successful,2.1714285612106323,troublesome,1.490476199558803,christian,2.1055555409855313,prolific,3.02105262404994,topless,4.215384611716638,grey,2.553333342075348
31,bold,2.1285714024589177,vain,1.4857142964998882,paternal,1.2722222242090437,gracious,2.826315806100243,feminist,3.7076923113602858,three,2.553333314259847
32,eager,1.8809523582458496,poisonous,1.4619047726903642,manorial,2.5941176694982193,dear,2.826315790806946,maiden,3.6692307728987474,asiatic,2.053333347042402
33,energetic,1.8523809512456257,dishonest,1.895000010728836,carolingian,2.447058852981119,proud,2.8263157762979207,nightmarish,3.5384615568014293,egyptian,1.7133333245913187
34,blameless,1.6904761904761905,mischievous,1.839999994635582,collective,2.317647064433378,merry,2.757894760683963,hysterical,3.2769230879270115,american,1.566666661699613
35,financial,3.560000002384186,woeful,1.6049999982118606,parthian,2.1588235322166893,amiable,2.7578947293130973,scornful,3.2307692674490123,matronly,3.1428571173122952
36,valiant,2.7000000059604643,hopeless,1.4900000065565109,military,1.964705880950479,pleasant,2.699999972393638,horrible,3.1461538626597476,marriageable,3.042857144560133
37,attentive,2.575000008940697,imperfect,1.4800000041723251,local,1.9352941197507523,pure,2.689473716836227,blonde,2.746153849821824,unhatched,2.9571428330881253
38,neat,2.15,stubborn,1.4700000077486037,danish,1.8352941204519833,talented,2.484210547647978,uncomfortable,2.730769239939176,nubile,2.7999999821186066
39,desirable,1.9799999833106994,awkward,1.4600000083446503,germanic,1.7294117668095756,nice,2.4473684037986554,neurotic,2.684615364441505,pretty,2.6714285803692683
40,daring,1.880000001192093,reluctant,1.454999992251396,homeric,1.7117646897540373,sprightly,3.6055555939674377,horrid,2.6307691977574277,mexican,2.2857142708131244
41,ethical,1.8400000035762787,discontented,1.4250000029802323,dutch,1.123529413167168,memorable,3.1388888822661505,sad,2.5461538388178897,winged,2.2785714396408627
42,brilliant,1.8299999833106995,shameful,1.4200000047683716,ecclesiastical,2.7875000089406967,virtuous,3.0722222460640802,diabetic,2.4923076813037577,young,1.5785714095192296
43,genial,1.8050000071525574,pitiful,1.419999998807907,male,2.225000001490116,admirable,2.744444426563051,helpless,2.3846153754454393,buxom,3.3461538415688734
44,fabulous,1.7449999809265138,dull,1.4049999922513963,stoic,2.1750000230968,celebrated,2.5888888703452215,unfortunate,2.0846153738406987,ancient,3.1769230503302355
45,splendid,1.7399999916553497,doomed,1.3599999964237213,immediate,1.9562500193715096,exquisite,3.3000000154270843,grecian,3.2999999821186066,blonde,3.053846162099105
46,creative,1.6500000178813934,vile,1.3150000065565108,hanoverian,1.8875000067055225,thrifty,3.17647062329685,unequal,3.2000000178813934,irish,2.71538459108426
47,friendly,2.6368420939696464,financial,3.105263120249698,private,1.875,witty,3.12941178854774,fragile,3.1999999980131784,syrian,2.623076911155994
48,rich,2.0736841904489616,false,2.4736842262117484,general,1.8125000186264515,aristocratic,3.0647058837554035,hideous,3.166666656732559,blond,2.3461538828336277
49,pleased,1.7947368370859247,unsung,2.3421052788433276,inhibited,1.2250000089406967,adorable,2.9117647339315975,frail,2.6333333353201547,favourite,1.7307692238917718
50,outstanding,1.7947368245375783,ungrateful,1.7210526340886165,territorial,3.2199999491373696,devoted,2.30588234873379,tired,2.441666670764486,french,3.733333279689153
51,calm,1.7578947418614437,inconsiderate,1.4631578890900863,temporal,3.180000003178914,buxom,3.6312499791383743,dizzy,3.8454544760964136,roman,3.5666666825612388
52,considerate,1.7526315827118724,unpleasant,1.4578947487630343,ottoman,2.4133333365122476,passionate,3.1812499836087227,motherly,3.4909090887416494,clipped,3.208333298563957
53,ambitious,1.7473684110139545,nasty,1.4473684273268048,royal,2.406666652361552,graceful,3.087499998509884,wrinkled,3.427272774956443,lesbian,3.0916666189829507
54,confident,1.7210526403627897,naughty,1.4421052587659735,economic,2.2799999872843424,peerless,2.97500002104789,damnable,3.209090893918818,contemporary,2.741666699449221
55,tolerant,1.7105263032411273,contradictory,1.4368421121647483,subsequent,2.159999974568685,rosy,2.7937500178813934,other,3.1818181797862053,tiny,2.358333354194959
56,heroic,1.705263144091556,savage,1.4315789467410038,capetian,1.6066666523615518,innocent,2.7312500048428774,unprotected,3.0727272683923896,lovely,1.9749999990065892
57,satisfactory,1.6999999786678113,unethical,1.4263157938656055,special,1.5799999992052713,respectable,2.399999980814755,future,3.0272727554494683,paternal,1.9249999895691872
58,kind,1.6631578897175037,arrogant,1.4263157844543457,native,1.4666666825612387,comfortable,3.4733333349227906,harried,2.9909090995788574,phoenician,1.3083333186805248
59,chivalrous,3.1055555740992227,lame,1.4157894755664624,electronic,3.4785714149475098,virgin,3.2266666253407794,hapless,2.8545454307035967,veiled,3.4636363332921807
60,normal,2.2388888796170554,mistaken,1.410526322691064,mathematical,3.3142856870378767,vivacious,3.1399999856948853,slovenly,2.809090928597884,strident,3.336363608186895
61,noble,2.083333339956072,inconvenient,1.410526316416891,regional,3.2785714268684387,harmonious,2.9866666316986086,frivolous,2.727272727272727,elderly,3.054545445875688
62,fortunate,2.0555555621782937,rotten,1.4052631509931464,mechanical,3.2428571496691023,beloved,2.5666666477918625,dread,2.6909091364253652,pregnant,3.045454583384774
63,well,1.8055555489328172,unfriendly,1.3631578903449209,secular,2.6714286037853787,delicate,2.546666685740153,abused,2.3181818290190264,stately,3.036363655870611
64,welcome,1.7833333280351427,outrageous,1.3421052537466351,electrical,2.6499999846730913,favorite,2.4666666467984517,lesbian,3.6300000071525576,haughty,2.863636390729384
65,prodigious,1.7722222142749362,ineffectual,1.9222222069899242,belted,2.5999999940395355,famous,2.419999982913335,pathetic,3.5999999761581423,korean,2.7818181961774826
66,respectful,1.7722222010294597,wrong,1.4777777791023254,naval,2.557142870766776,golden,2.353333346048991,disdainful,3.2900000333786013,domestic,2.5272727337750522
67,courageous,1.75,dire,1.4666666719648573,social,2.485714301466942,topless,3.8500000408717563,consumptive,3.15999995470047,primiparous,2.2454545999115165
68,prudent,1.75,sinful,1.4666666587193806,roman,2.407142835003989,classy,3.807142870766776,marriageable,2.9700000047683717,plump,2.209090915593234
69,sincere,1.738888892862532,impersonal,1.4444444477558136,priestly,2.2714285807950154,undercover,3.6571428094591414,frigid,2.9500000357627867,plural,2.154545458880338
70,resolute,1.7333333293596904,mock,1.4333333273728688,petty,2.1928571505205974,glamorous,3.614285741533552,silly,2.8699999809265138,crowned,2.054545456712896
71,serene,1.6944444444444444,useless,1.4277777870496113,western,2.17142858675548,expectant,2.764285717691694,accursed,2.8200000047683718,viennese,2.0363636274229395
72,restful,1.6444444523917303,sinister,1.4277777837382422,medieval,2.0499999948910306,agreeable,2.707142846924918,malevolent,2.810000002384186,andalusian,2.027272718873891
73,great,1.9764705686008228,insane,1.4166666666666667,lancastrian,1.9357142874172755,modest,2.657142860548837,naked,2.759999990463257,belgian,1.899999980222095
74,perfect,1.9705882282818066,villainous,1.4055555628405676,nominal,1.8714285620621272,popular,2.6142857058772018,archaic,2.7,employed,1.4727272513237866
75,wise,1.9176470497075249,upset,1.3944444457689922,early,1.749999993613788,sophisticated,2.5928571139063155,foul,2.699999988079071,neapolitan,1.1909090835939755
76,beneficent,1.8882352885077982,doubtful,1.3944444325235155,tribal,1.7285714277199336,dainty,3.8153845346890964,nagging,2.6599999904632567,future,1.1636363931677558
77,compassionate,1.8647058711332434,ominous,1.383333341942893,chief,1.6999999710491724,blonde,3.6538461721860447,childless,2.480000042915344,dainty,3.8799999952316284
78,irresistible,1.8352940924027388,contemptible,1.37777778506279,turkish,1.3999999804156167,blond,2.838461499947768,troubled,2.060000014305115,motherly,3.640000009536743
79,merciful,1.8117647030774284,degrading,1.3722222215599484,backed,1.1571428648063116,privileged,2.661538454202505,suffering,1.8199999809265137,matriarchal,3.4500000357627867
80,suave,1.805882355746101,unsupported,1.3722222215599484,papal,3.2000000385137706,superb,2.5307692014254055,shrewish,3.9111111164093018,japanese,3.4099999621510504
81,meritorious,1.7529411596410416,lousy,1.3611111011770036,future,2.6923076739678016,experienced,2.476923039326301,withered,3.6888888941870794,emotional,3.20999995470047
82,clear,1.717647068640765,dejected,1.355555557542377,personal,2.5615384624554562,precious,2.361538452597765,pernicious,3.677777740690443,fictional,2.649999964237213
83,peaceable,1.7058823389165543,allergic,1.3500000006622739,cappadocian,2.1307692252672634,pious,2.2999999660712023,buxom,3.5888889100816517,lunar,2.469999998807907
84,like,1.6235294201794792,punishable,1.3499999940395355,armed,1.992307696204919,mature,2.2307692215992856,unpromising,3.188888920678033,gestational,2.370000012218952
85,thankful,1.623529399142546,stricken,1.3444444371594324,ancestral,1.6538461309212904,happy,2.1538461337868986,fictional,3.1888888676961265,operatic,2.2999999552965162
86,positive,1.5823529467863195,threatening,1.333333330021964,uterine,1.2692307875706599,motherly,3.691666687528292,sober,3.1444444523917303,ephesian,2.229999954998493
87,paramount,2.8062499836087227,fascist,2.1999999915852264,regimental,1.2384615402955275,novel,3.433333307504654,malicious,2.9555555714501276,portuguese,2.209999990463257
88,special,2.693749986588955,ruined,1.7470588158158695,weaponless,1.1076923104432912,ample,3.3583333094914756,young,2.7444444364971585,weird,2.0999999940395355
89,polite,2.60624997317791,cynical,1.7352941071285921,unsung,2.9749999940395355,chic,3.0916666984558105,forlorn,2.655555526415507,semitic,1.759999980032444
90,efficient,2.206250011920929,desperate,1.6235294201794792,technical,2.8833333353201547,good,2.941666672627131,beautiful,2.4222222169240317,unmarried,1.2499999918043614
91,ideal,2.2062499970197678,rude,1.53529411203721,sororal,2.7250000089406967,pleasing,2.833333353201548,unreasonable,2.322222193082174,canadian,1.1199999913573264
92,picturesque,1.8999999910593033,perverse,1.4294117724194246,sinhalese,2.5750000029802322,lovable,2.549999992052714,fat,2.2999999788072376,highborn,4.144444439146254
93,charitable,1.8875000029802322,sluggish,1.4000000007012312,allied,2.266666660706202,cheerful,2.4666666090488434,wicked,2.288888884915246,gothic,3.555555545621448
94,sumptuous,1.7937499806284904,alarmed,1.388235299026265,municipal,2.199999988079071,eligible,2.433333339790503,destitute,2.233333322736952,ethiopian,3.533333346247673
95,sensational,1.7687499821186066,ruinous,1.388235299026265,italian,2.158333341280619,fine,2.000000014901161,damned,2.1333333121405706,german,3.3333333134651184
96,resourceful,1.7625000029802322,heartless,1.3823529481887817,muscovite,1.7333333392937977,virginal,4.000000043348833,worried,1.9111110899183485,turkish,3.177777792016665
97,reliable,1.7624999955296516,fearful,1.382352937670315,protestant,1.725000002110998,winsome,3.8636363744735718,wearisome,3.787499964237213,unmated,3.088888891869121
98,honest,1.7562499716877937,retarded,1.3705882289830376,relevant,1.7000000178813934,royal,3.2636364048177544,smutty,3.762500077486038,proclaimed,2.8444444835186005
99,reverent,1.743750013411045,lonesome,1.3647058816517101,spiritual,1.6916666626930237,angelic,2.9818181558088823,parisian,3.737500011920929,armenian,2.844444458683332
100,innovative,1.7312500029802322,unacceptable,1.3647058816517101,mongolian,1.4916666845480602,matchless,2.9818181449716743,veiled,3.6124999672174454,wicked,2.7222222652700214
101,optimistic,1.7124999985098839,unwelcome,1.3647058816517101,slav,1.2416666845480602,sexy,2.854545463215221,pregnant,3.36250002682209,single,2.33333330684238
102,truthful,1.7062500044703484,disagreeable,1.3588235273080713,foetal,0.9333333323399226,young,2.745454506440596,unsupported,3.3125000596046448,auld,2.2222221907642155
103,visionary,1.6874999850988388,disingenuous,1.3588235238019157,armoured,3.218181853944605,refined,2.672727248885415,embarrassed,3.2999999672174454,weaponless,1.8111111025015514
104,warmhearted,1.6625000163912773,perplexed,1.3352941169458277,armored,2.681818198073994,nude,2.663636326789856,capricious,3.287500023841858,corresponding,1.5111111054817836
105,acceptable,1.6499999910593033,agitated,1.329411762602189,russian,2.6636363538828762,responsive,2.5818181796507402,russian,3.249999985098839,married,1.5111111005147297
106,fit,1.6437500044703484,stagnant,1.3235294047523947,chivalrous,2.645454553040591,clever,2.5272726904262197,giddy,3.0499999672174454,anglican,1.3999999976820416
107,jubilant,1.6250000074505806,glum,1.3176470609272228,departmental,2.6272727251052856,sensible,2.4545454653826626,deaf,2.9999999701976776,backed,1.3666666547457378
108,playful,1.6187499910593033,mindless,1.3176470609272228,numidian,2.472727271643552,valuable,2.2636363723061304,burlesque,2.7374999970197678,sylvan,1.3555555393298466
109,inspiring,1.5437500104308128,resentful,1.2941176505649792,burly,2.4636363332921807,maiden,4.1700000166893005,chronic,2.6249999701976776,ionian,1.133333307173517
110,sublime,1.9199999968210857,hypocritical,1.2647058858590967,civil,2.4181818528608843,alleged,3.6399999618530274,agonized,2.48750002682209,many,0.8666666663355298
111,consummate,1.906666644414266,stinking,1.2529411701595081,electoral,2.2727272781458767,guiltless,3.499999976158142,unkind,2.4874999672174454,fertile,4.812500029802322
112,dignified,1.8866666714350382,phobic,1.2470588158158695,central,2.263636350631714,suspected,3.3700000405311585,sore,2.375,orphaned,4.07499997317791
113,intelligent,1.840000001589457,unfaithful,2.3874999694526196,british,2.1000000075860457,russian,3.3299999117851256,poor,2.249999964609742,pagan,4.037499964237213
114,smart,1.8133333126703899,menial,2.1812499836087227,assistant,2.0272727337750522,veiled,3.3200000166893004,destructive,2.1499999910593033,european,3.7124999910593033
115,clean,1.806666652361552,dissatisfied,1.6687500067055225,lutheran,1.6272727305238897,many,3.2899999655783176,naive,2.125,friendly,3.4124999940395355
116,ingenious,1.7866666475931803,needy,1.5937499962747097,prospective,1.6181818030097268,normal,3.1199999809265138,severe,1.9999999850988388,burmese,3.3625000435858965
117,ardent,1.7466666539510092,uneasy,1.418749999254942,racial,1.5727272738109936,emotional,3.0400000527501105,ashamed,1.9249999970197678,hittite,3.275000037625432
118,manageable,1.7400000095367432,unequal,1.418749999254942,extra,1.4181818095120517,lyrical,2.5700000286102296,sheltered,4.185714244842529,distant,3.2374999970197678
119,desirous,1.7400000015894572,painful,1.4187499955296516,latter,1.1272727196866816,radiant,2.540000009536743,prudish,4.071428571428571,vast,3.225000023841858
120,youthful,1.7266666571299234,erroneous,1.4125000089406967,franciscan,1.0818181904879483,magic,2.5200000166893006,dainty,3.7571428333009993,norwegian,3.2249999660998583
121,thoughtful,1.7200000047683717,guilty,1.4125000014901161,eighth,1.02727271751924,brilliant,2.4699999928474425,highborn,3.728571449007307,next,3.212499998509884
122,lucky,1.6933333317438761,dreary,1.387499999254942,significant,0.9818181774832986,fond,2.349999983608723,nude,3.600000057901655,scandinavian,2.812500050291419
123,hospitable,1.6933333237965902,defective,1.3812500052154064,hard,0.9363636428659613,remarkable,2.3299999952316286,egyptian,3.5428571360451833,overprotective,2.687499985098839
124,skillful,1.6800000031789144,shabby,1.3749999962747097,autonomous,0.9090909090909091,ideal,2.1000000193715094,tiny,3.2999999948910306,rural,2.399999976158142
125,avid,1.6666666587193808,worn,1.356249999254942,strange,0.8272727240215648,lesbian,3.855555554231008,alleged,3.271428568022592,indian,2.2499999701976776
126,enthusiastic,1.653333346048991,lugubrious,1.3500000052154064,acute,3.799999988079071,faithful,3.644444465637207,colonial,3.114285741533552,dewy,1.9999999944120646
127,superb,1.640000009536743,bitter,1.331250000745058,greek,2.579999977350235,wicked,3.2888888733254538,old,3.0428571105003357,later,1.8875000290572643
128,obsequious,3.7357142993382046,unsuccessful,1.331250000745058,external,2.4899999856948853,faultless,3.188888907432556,obese,2.9428571462631226,uniformed,1.7499999850988388
129,constitutional,2.735714282308306,confusing,1.324999999254942,muhammadan,2.3199999928474426,first,3.0222222208976746,indigent,2.9285713945116316,venetian,1.749999975785613
130,chief,2.6142856904438565,ill,1.3124999962747097,gaelic,2.1599999904632567,authentic,2.788888931274414,small,2.8999999591282437,benedictine,1.150000000372529
131,victorious,2.392857159887041,impetuous,1.3124999925494194,present,2.150000035762787,victorian,2.788888851801554,elderly,2.7571428503308977,shavian,1.0500000063329935
132,renowned,2.3071428537368774,sorrowful,1.300000000745058,uniformed,2.1400000274181368,bountiful,2.67777779367235,depressed,2.6714285782405307,wedded,0.987499987706542
133,fearless,2.1642856768199374,sorry,1.2812499962747097,secret,1.959999966621399,preeminent,2.4000000291400485,erroneous,2.671428527150835,eastern,4.685714312962124
134,clever,1.9571428809847151,virulent,1.2687499932944775,clerical,1.9500000059604645,momentous,2.3444444868299694,lackadaisical,2.5999999727521623,prudish,4.399999959128244
135,sleek,1.9071428520338876,absent,2.619999965031942,putative,1.949999988079071,splendid,2.34444440735711,frantic,2.5142857347215926,persian,4.171428629330227
136,heavenly,1.8285714132445199,officious,2.5733333150545756,parallel,1.8799999833106995,helpful,2.3000000185436673,distraught,2.4428571462631226,larval,4.1285713485309055
137,sociable,1.8142857125827245,turbulent,1.8133333325386047,blue,1.7000000119209289,sympathetic,2.2555555212828846,plump,2.3857142669813975,last,3.9999999829701016
138,reputable,1.7999999948910304,lawless,1.646666661898295,vietnamese,1.5900000214576722,bright,1.7222222329841719,shamed,2.385714258466448,portly,3.771428610597338
139,healthy,1.778571435383388,horrid,1.6333333174387614,illustrious,1.5799999952316284,fictional,4.199999995529652,painful,2.2285713979176114,danish,3.7571428269147873
140,talented,1.7714285680225916,puzzled,1.4599999904632568,delphic,1.5700000047683715,female,4.149999976158142,apathetic,2.142857142857143,macedonian,3.6142856840576445
141,lustrous,1.7357142737933569,angry,1.453333330154419,grey,1.3699999928474427,unconventional,3.9249999970197678,unhealthy,2.1285714081355502,recent,3.5714286054883684
142,true,1.7285714149475098,indifferent,1.4266666531562806,reliant,0.8299999952316284,withered,3.799999989569187,neglectful,2.0857142891202654,christian,3.2285714404923573
143,beneficial,1.7142857142857142,offensive,1.406666668256124,cardinal,3.822222259309557,pregnant,3.6499999463558197,extravagant,2.0857142550604686,brazilian,2.9857142503772462
144,humorous,1.714285705770765,apprehensive,1.4066666563351948,joint,3.5777778228123984,greek,3.5375000424683094,unattractive,2.0857142550604686,swiss,2.8857142691101347
145,remarkable,1.6857142959322249,immoral,1.393333343664805,tributary,3.199999988079071,tempting,3.4875000566244125,defective,2.057142836706979,austrian,2.8285713493824005
146,intimate,1.6714285867554801,frightful,1.393333339691162,patriarchal,2.5888889100816517,artificial,3.324999935925007,dissatisfied,1.9857142652784074,mammalian,2.785714330417769
147,vivid,1.6642857108797346,uncomfortable,1.393333339691162,obsequious,2.577777796321445,british,3.2749999910593033,several,1.9571428575686045,tibetan,2.7428571517978395
148,diligent,1.6571428690637862,obnoxious,1.3666666706403097,unjust,2.511111127005683,great,3.2124999314546585,disadvantaged,1.842857105391366,babylonian,2.614285728761128
149,productive,1.6428571343421936,lowly,1.353333342075348,former,2.5000000132454767,marriageable,3.074999988079071,weak,1.7714285850524902,bavarian,2.5857142912490025
150,credible,1.6071428571428572,conflicting,1.346666657924652,despotic,2.499999980131785,sociable,2.9624999910593033,nubile,4.733333269755046,fickle,2.5428571701049805
151,intelligible,1.6000000153269087,sarcastic,1.3399999976158141,landless,2.3888888690206738,intriguing,2.887499988079071,dowdy,4.4333332777023315,postmenopausal,2.1142856904438565
152,praiseworthy,1.6000000068119593,lackadaisical,1.3333333373069762,hereditary,2.244444423251682,dignified,2.7999999821186066,virginal,4.416666686534882,suspected,2.0999999897820607
153,delighted,1.5214285680225916,unlucky,1.3266666611035665,stalwart,2.222222195731269,enthusiastic,2.7499999701976776,winsome,4.299999952316284,hawaiian,2.0285714247397015
154,opportune,1.507142858845847,tortured,1.3133333325386047,armenian,2.155555533038245,real,2.7375000193715096,classical,4.1333333651224775,charming,1.9142857151372092
155,mathematical,3.7769230879270115,unwanted,1.306666664282481,drunken,2.1222222248713174,protective,2.6875000298023224,domestic,4.083333333333333,sumerian,1.5000000191586358
156,hereditary,3.061538430360647,vociferous,1.306666664282481,main,2.099999984105428,willing,2.6124999970197678,unimaginable,4.033333420753479,creole,1.4285714307001658
157,invincible,2.6692307820686927,disorganized,1.306666656335195,finnish,2.0666666759385004,sublime,2.5750000178813934,offended,3.9666666984558105,italian,1.3571428614003318
158,main,2.5538461483441868,shaky,1.299999996026357,egyptian,2.0444444749090405,consummate,2.5,motherless,3.7666667302449546,feudatory,1.2285714447498322
159,favorite,2.1384615347935605,culpable,1.2866666634877524,solar,2.044444461663564,coherent,2.437500014901161,former,3.7499998969336352,wagnerian,1.1571428669350488
160,handsome,2.0230769285788903,muddy,1.2866666555404662,provincial,2.044444455040826,praiseworthy,2.4375,pert,3.4666666785875955,mediterranean,1.0714285650423594
161,invulnerable,1.9153845952107356,suspect,1.2799999872843424,own,1.9111111329661474,monumental,2.300000011920929,sentimental,3.300000011920929,simultaneous,1.0285714289971761
162,flawless,1.8999999944980328,shocking,1.2266666531562804,northern,1.7666666706403096,positive,2.2874999940395355,beauteous,3.2833333214124045,foetal,1.0142857347215926
163,festive,1.7692307692307692,mathematical,3.7785714098385403,evangelical,1.4222222169240315,perfect,2.2374999672174454,stately,3.216666658719381,primordial,0.8857142691101346
164,auspicious,1.7615384597044725,electronic,2.857142869915281,theban,1.4111111230320401,outstanding,2.2249999791383743,improper,3.150000035762787,arabian,0.8428571415799004
165,magnificent,1.700000029343825,corrupt,2.799999943801335,earthly,1.144444425900777,adequate,2.125,imperious,2.8166666428248086,carmelite,0.8428571330649512
166,wholesome,1.6769230915949895,errant,2.264285692146846,legal,1.0666666560702853,gifted,1.937499988824129,uniformed,2.816666635374228,georgian,0.7714285744088036
167,selective,1.623076924910912,damned,2.1428571471146176,coloured,1.0333333412806194,coy,4.457142795835223,lovely,2.800000011920929,untested,5.249999920527141
168,entertaining,1.61538460621467,retired,1.9999999957425254,soviet,0.9444444643126594,captivating,4.185714278902326,sneaky,2.7000000278155007,feathery,5.100000063578288
169,propitious,1.569230785736671,difficult,1.5214285680225916,proclaimed,0.9111111031638252,highborn,4.157142877578735,stiff,2.6833333174387612,regnant,4.883333404858907
170,comfortable,1.5000000091699452,uncontrolled,1.4999999914850508,distinctive,0.866666661368476,prudish,3.9285714285714284,tuberculous,2.6833333174387612,previous,4.766666670640309
171,temporal,3.233333319425583,destructive,1.4142857108797346,unitary,3.762499988079071,lofty,3.714285748345511,undesirable,2.4666666785875955,dizzy,4.75000003973643
172,patient,2.983333299557368,sad,1.400000010217939,elective,3.1375000327825546,orphaned,3.628571484770094,shameless,2.4333333571751914,classy,4.74999996026357
173,legendary,2.5083333452542624,pessimistic,1.3928571343421936,apostolic,2.849999986588955,feminist,3.5,unfit,2.350000003973643,unimaginable,4.533333261807759
174,divine,2.5083333055178323,neurotic,1.3785714294229234,previous,2.7624999806284904,irreproachable,3.0857143061501637,tawdry,2.300000011920929,spanish,4.366666694482167
175,supportive,2.4916666746139526,scornful,1.364285715988704,false,2.6125000193715096,seductive,2.9571428639548167,unprepared,2.2666666905085244,prolific,4.3666666348775225
176,proud,2.2500000397364297,apathetic,1.3428571437086378,brutal,2.4874999821186066,fantastic,2.8285714047295705,uneasy,2.25,western,4.200000147024791
